Match_ID,GameMode
8774298872,16
8774238406,16
8769302112,22
8769254228,22
8769176480,22
8767848614,16
8767773235,16
8767711935,16
8767657984,16
8767584067,23
8762287575,16
8762225933,16
8758965666,15
8758484280,23
8758018323,23
8757983532,23
8757893274,23
8757528761,15
8757449811,15
8757259796,23
8756501545,16
8756387355,2
8756123993,23
8755824610,23
8755667427,23
8755064204,15
8755021393,2
8748105552,15
8748025835,15
8747957075,15
8747601558,15
8747563775,15
8747375316,22
8746656356,15
8743862180,15
8740087362,2
8740042121,2
8738529083,15
8737194069,15
8737114059,2
8737044109,2
8735830783,22
8735774646,2
8735682664,15
8729194078,15
8729157819,15
8729120779,15
8729075812,15
8728864141,15
8728857996,15
8728191714,15
8728174407,15
8727811925,15
8727771856,15
8727722116,16
8727644462,2
8706305507,15
8697821602,15
8697806429,15
8696538722,15
8636957639,15
8635571049,15
8635546039,15
8635288969,15
8635164336,15
8633931461,15
8628369152,15
8626313221,23
8613930764,15
8519040893,22
8518616804,22
8518544377,22
8517462202,22
8517373159,22
8517260330,22
8516458855,15
8514085655,22
8512791225,15
8512106593,22
8511983728,15
8511124815,22
8510919033,22
8510644073,22
8509832116,15
8509727180,22
8509676571,15
8509148938,15
8508312285,22
8507417719,22
8506877213,15
8506805208,22
8506624182,15
8506378948,22
8504792390,22
8504704504,15
8504601353,15
8504564579,15
8504379711,22
8504338827,15
8504262602,15
8504076144,22
8504004430,15
8503953388,22
8503232063,22
8503082670,15
8501963901,15
8501901407,22
8501768288,15
8501532084,22
8501237736,15
8501214802,15
8501092018,15
8500361482,22
8500291075,22
8500154070,22
8500096074,15
8498682291,15
8498590596,15
8497283437,15
8496979680,15
8496563937,15
8496411427,15
8496203927,22
8495418752,15
8495051056,22
8494942304,22
8494825561,22
8494618243,15
8494457160,22
8493712108,22
8493659675,15
8493429769,22
8493157939,22
8492871595,22
8492810915,22
8492696799,22
8492028463,15
8491906646,15
8491789674,15
8491259094,22
8491156925,22
8473356020,22
8473266416,22
8473115698,22
8473012256,15
8472145554,15
8472080878,22
8472028213,22
8471984921,22
8471928304,22
8471347492,22
8470026547,15
8469256205,22
8469164748,22
8469065469,23
8468991607,23
8468941208,23
8468373839,15
8467836675,23
8467359903,23
8467341272,15
8467303202,23
8467255363,23
8467236293,23
8463542789,15
8463198395,15
8462645149,23
8462628308,15
