Match_ID,GameMode
8774298872,16
8774238406,16
8774227206,15
8773713560,22
8773638825,22
8773534576,22
8773507982,15
8773464118,22
8772864304,22
8770236048,22
8769925142,22
8769864890,22
8769810700,22
8769775072,22
8769302112,22
8769254228,22
8769176480,22
8768821467,22
8768489383,22
8767848614,16
8767773235,16
8767711935,16
8767657984,16
8764364100,22
8757573617,22
8757528761,15
8757414737,22
8757326748,22
8757245468,22
8756501545,16
8756387355,2
8755064204,15
8754961651,2
8754897608,2
8746178902,22
8743910015,22
8743878593,22
8743830054,22
8743467135,22
8741388137,15
8741379055,15
8741339129,22
8741301236,22
8740087362,2
8740042121,2
8739985847,2
8739917908,2
8738739329,15
8738726801,15
8738705774,15
8738678080,22
8738643156,22
8738323176,15
8738259487,22
8737885585,22
8737816152,22
8737668312,22
8737194069,15
8737174092,15
8737114059,2
8737044109,2
8736812469,22
8735863454,15
8735830783,22
8735774646,2
8734629008,15
8734604559,15
8734458890,22
8734238366,15
8734217837,15
8733350822,22
8733304635,22
8732706184,22
8732040778,15
8731709873,15
8729378105,15
8729324706,22
8729285948,22
8729194078,15
8729157819,15
8729120779,15
8729047194,22
8728910796,15
8728864141,15
8728784799,22
8728598027,22
8728523294,22
8728337708,15
8727811925,15
8727771856,15
8727722116,16
8727644462,2
8727600464,15
8726884933,22
8725960795,22
8725854408,22
8725685574,22
8725632623,15
8722791395,2
8722724078,2
8722656183,2
8721214909,22
8721164794,15
8721110402,22
8721006157,22
8720847135,22
8720785713,15
8720760355,15
8719978729,22
8719911556,22
8719844329,22
8718583299,2
8718523562,2
8717242748,2
8717198460,2
8717142658,2
8716923523,22
8716852241,22
8716791989,22
8716130397,15
8716109540,22
8716079936,22
8715317424,22
8715263857,22
8715234390,22
8714867192,22
8714840067,22
8714780886,22
8714732617,22
8714695918,22
8714643658,22
8714302678,22
8713617448,22
8713601726,15
8713528389,22
8712910992,22
8703872709,15
8703813630,15
8703787197,15
8703763775,15
8703729268,15
8702362488,15
8702341874,15
8702223171,22
8702179624,22
8702099868,22
8701937372,22
8701837866,22
8701726179,22
8701604448,15
8698353522,22
8698314257,22
8697213173,22
8696619262,22
8696333336,15
8696241149,22
8696160689,22
8695057761,22
8694622887,22
8694592909,22
8693730752,22
8693654961,22
8692879158,15
8692845536,22
8692814084,22
8692716056,22
8692636094,22
8692419657,15
