#,Match_ID,Team,Is_Winner,Duration,Nickname,Hero_Name,K,D,A,Account_ID
36,7559238144,Dire,Yes,45 мин,Y O S E N,Death Prophet,6,2,25,104608913
36,7559238144,Dire,Yes,45 мин,Железный человек,Night Stalker,11,2,17,253235627
37,7559168751,Radiant,No,35 мин,Булка с маком,Pudge,2,9,9,48804856
37,7559168751,Radiant,No,35 мин,StrongLeg,Marci,6,13,9,34226035
37,7559168751,Radiant,No,35 мин,KeS.Jr,Abaddon,2,5,10,62575637
37,7559168751,Radiant,No,35 мин,Snake-Jazzman,Lich,4,8,9,37615683
37,7559168751,Radiant,No,35 мин,Хоссср,Juggernaut,2,8,7,35394283
37,7559168751,Dire,Yes,35 мин,Y O S E N,Huskar,7,5,22,104608913
37,7559168751,Dire,Yes,35 мин,teo,Phantom Lancer,8,1,15,110621494
37,7559168751,Dire,Yes,35 мин,Rome,Ogre Magi,4,5,24,94035796
37,7559168751,Dire,Yes,35 мин,ластхит по перхоти,Witch Doctor,9,5,14,207865369
37,7559168751,Dire,Yes,35 мин,Железный человек,Doom,15,2,17,253235627
38,7557618376,Radiant,No,79 мин,Хоссср,Lifestealer,25,16,26,35394283
38,7557618376,Radiant,No,79 мин,KeS.Jr,Nyx Assassin,15,18,33,62575637
38,7557618376,Radiant,No,79 мин,Y O S E N,Doom,14,14,39,104608913
38,7557618376,Radiant,No,79 мин,ластхит по перхоти,Wraith King,4,15,38,207865369
38,7557618376,Radiant,No,79 мин,Snake-Jazzman,Lich,9,16,33,37615683
38,7557618376,Dire,Yes,79 мин,teo,Axe,22,13,25,110621494
38,7557618376,Dire,Yes,79 мин,Булка с маком,Pudge,11,20,41,48804856
38,7557618376,Dire,Yes,79 мин,Жора Пасатижи,Razor,24,7,38,132943958
38,7557618376,Dire,Yes,79 мин,Atzik,Grimstroke,6,17,36,44019880
38,7557618376,Dire,Yes,79 мин,StrongLeg,Pangolier,13,11,38,34226035
39,7557507459,Radiant,Yes,38 мин,Хоссср,Lifestealer,15,2,14,35394283
39,7557507459,Radiant,Yes,38 мин,Snake-Jazzman,Shadow Shaman,5,9,18,37615683
39,7557507459,Radiant,Yes,38 мин,KeS.Jr,Spirit Breaker,9,2,20,62575637
39,7557507459,Radiant,Yes,38 мин,ластхит по перхоти,Tidehunter,3,4,32,207865369
39,7557507459,Radiant,Yes,38 мин,Y O S E N,Outworld Destroyer,14,5,16,104608913
39,7557507459,Dire,No,38 мин,Булка с маком,Crystal Maiden,2,11,15,48804856
39,7557507459,Dire,No,38 мин,teo,Phantom Lancer,10,4,8,110621494
39,7557507459,Dire,No,38 мин,StrongLeg,Ember Spirit,3,10,12,34226035
39,7557507459,Dire,No,38 мин,Atzik,Lich,5,12,9,44019880
39,7557507459,Dire,No,38 мин,Железный человек,Magnus,2,9,11,253235627
40,7557431337,Radiant,Yes,39 мин,Булка с маком,Crystal Maiden,4,12,20,48804856
40,7557431337,Radiant,Yes,39 мин,Железный человек,Magnus,16,5,24,253235627
40,7557431337,Radiant,Yes,39 мин,teo,Sniper,14,5,28,110621494
40,7557431337,Radiant,Yes,39 мин,Atzik,Grimstroke,6,9,29,44019880
40,7557431337,Radiant,Yes,39 мин,StrongLeg,Pangolier,20,2,27,34226035
40,7557431337,Dire,No,39 мин,KeS.Jr,Lion,5,15,11,62575637
40,7557431337,Dire,No,39 мин,Y O S E N,Bristleback,9,12,9,104608913
40,7557431337,Dire,No,39 мин,ластхит по перхоти,Mars,3,8,12,207865369
40,7557431337,Dire,No,39 мин,Хоссср,Clinkz,11,13,14,35394283
40,7557431337,Dire,No,39 мин,Snake-Jazzman,Lich,5,12,14,37615683
41,7551664235,Radiant,No,39 мин,Булка с маком,Lion,7,13,6,48804856
41,7551664235,Radiant,No,39 мин,StrongLeg,Underlord,4,7,10,34226035
41,7551664235,Radiant,No,39 мин,hyco,Zeus,2,8,5,1040093158
41,7551664235,Radiant,No,39 мин,Жора Пасатижи,Nature's Prophet,4,10,5,132943958
41,7551664235,Radiant,No,39 мин,Snake-Jazzman,Lich,0,15,7,37615683
41,7551664235,Dire,Yes,39 мин,Хоссср,Phantom Assassin,16,4,14,35394283
41,7551664235,Dire,Yes,39 мин,Y O S E N,Necrophos,21,1,21,104608913
41,7551664235,Dire,Yes,39 мин,Atzik,Jakiro,1,8,12,44019880
41,7551664235,Dire,Yes,39 мин,teo,Night Stalker,9,4,30,110621494
41,7551664235,Dire,Yes,39 мин,ластхит по перхоти,Snapfire,6,1,28,207865369
42,7551589289,Radiant,Yes,52 мин,Жора Пасатижи,Sniper,12,4,15,132943958
42,7551589289,Radiant,Yes,52 мин,KeS.Jr,Doom,9,6,32,62575637
42,7551589289,Radiant,Yes,52 мин,Atzik,Grimstroke,2,6,28,44019880
42,7551589289,Radiant,Yes,52 мин,Булка с маком,Crystal Maiden,13,5,19,48804856
42,7551589289,Radiant,Yes,52 мин,hyco,Bloodseeker,14,4,21,1040093158
42,7551589289,Dire,No,52 мин,Хоссср,Rubick,3,13,14,35394283
42,7551589289,Dire,No,52 мин,Y O S E N,Lina,8,7,10,104608913
42,7551589289,Dire,No,52 мин,ластхит по перхоти,Centaur Warrunner,7,10,13,207865369
42,7551589289,Dire,No,52 мин,StrongLeg,Winter Wyvern,4,14,12,34226035
42,7551589289,Dire,No,52 мин,teo,Phantom Lancer,3,6,11,110621494
43,7545418329,Radiant,Yes,46 мин,Хоссср,Juggernaut,18,7,10,35394283
43,7545418329,Radiant,Yes,46 мин,StrongLeg,Tidehunter,12,7,36,34226035
43,7545418329,Radiant,Yes,46 мин,Булка с маком,Crystal Maiden,3,16,31,48804856
43,7545418329,Radiant,Yes,46 мин,Rome,Lina,12,9,16,94035796
43,7545418329,Radiant,Yes,46 мин,OUHETTUR,Earth Spirit,8,9,31,53849319
43,7545418329,Dire,No,46 мин,KeS.Jr,Shadow Shaman,5,15,24,62575637
43,7545418329,Dire,No,46 мин,teo,Spectre,15,7,17,110621494
43,7545418329,Dire,No,46 мин,86-й,Elder Titan,10,12,18,59850816
43,7545418329,Dire,No,46 мин,Atzik,Witch Doctor,11,12,18,44019880
43,7545418329,Dire,No,46 мин,Y,Pudge,6,9,16,35240930
44,7545360879,Radiant,Yes,38 мин,Хоссср,Earthshaker,6,9,11,35394283
44,7545360879,Radiant,Yes,38 мин,Snake-Jazzman,Lich,5,6,24,37615683
44,7545360879,Radiant,Yes,38 мин,ластхит по перхоти,Phoenix,2,4,36,207865369
44,7545360879,Radiant,Yes,38 мин,Y O S E N,Huskar,23,7,14,104608913
44,7545360879,Radiant,Yes,38 мин,StrongLeg,Lifestealer,16,0,17,34226035
44,7545360879,Dire,No,38 мин,Atzik,Jakiro,4,12,13,44019880
44,7545360879,Dire,No,38 мин,KeS.Jr,Spirit Breaker,3,11,14,62575637
44,7545360879,Dire,No,38 мин,Rome,Weaver,2,4,13,94035796
44,7545360879,Dire,No,38 мин,Булка с маком,Dawnbreaker,4,15,12,48804856
44,7545360879,Dire,No,38 мин,teo,Storm Spirit,8,10,5,110621494
45,7545299389,Radiant,No,37 мин,Snake-Jazzman,Lich,4,12,11,37615683
45,7545299389,Radiant,No,37 мин,teo,Anti-Mage,5,11,9,110621494
45,7545299389,Radiant,No,37 мин,StrongLeg,Windranger,9,8,7,34226035
45,7545299389,Radiant,No,37 мин,Atzik,Tidehunter,2,13,10,44019880
45,7545299389,Radiant,No,37 мин,KeS.Jr,Nature's Prophet,3,20,7,62575637
45,7545299389,Dire,Yes,37 мин,Y O S E N,Outworld Destroyer,14,4,18,104608913
45,7545299389,Dire,Yes,37 мин,ластхит по перхоти,Crystal Maiden,7,5,34,207865369
45,7545299389,Dire,Yes,37 мин,Хоссср,Phantom Assassin,16,4,12,35394283
45,7545299389,Dire,Yes,37 мин,Булка с маком,Pudge,12,7,30,48804856
45,7545299389,Dire,Yes,37 мин,Rome,Winter Wyvern,14,4,16,94035796
46,7539445476,Radiant,Yes,30 мин,Хоссср,Wraith King,8,1,12,35394283
46,7539445476,Radiant,Yes,30 мин,teo,Sniper,23,3,14,110621494
46,7539445476,Radiant,Yes,30 мин,Булка с маком,Kunkka,6,5,22,48804856
46,7539445476,Radiant,Yes,30 мин,StrongLeg,Silencer,8,3,25,34226035
46,7539445476,Radiant,Yes,30 мин,OUHETTUR,Earth Spirit,7,3,30,53849319
46,7539445476,Dire,No,30 мин,KeS.Jr,Gyrocopter,3,13,7,62575637
46,7539445476,Dire,No,30 мин,ластхит по перхоти,Beastmaster,1,11,6,207865369
46,7539445476,Dire,No,30 мин,Y O S E N,Chaos Knight,1,8,6,104608913
46,7539445476,Dire,No,30 мин,Atzik,Grimstroke,3,10,6,44019880
46,7539445476,Dire,No,30 мин,86-й,Luna,6,10,6,59850816
47,7539390890,Radiant,Yes,36 мин,Atzik,Witch Doctor,7,10,26,44019880
47,7539390890,Radiant,Yes,36 мин,Y O S E N,Lifestealer,11,3,14,104608913
47,7539390890,Radiant,Yes,36 мин,ластхит по перхоти,Centaur Warrunner,9,9,31,207865369
47,7539390890,Radiant,Yes,36 мин,86-й,Pugna,17,2,24,59850816
47,7539390890,Radiant,Yes,36 мин,KeS.Jr,Spirit Breaker,7,8,25,62575637
47,7539390890,Dire,No,36 мин,Хоссср,Pudge,5,12,13,35394283
47,7539390890,Dire,No,36 мин,Булка с маком,Dawnbreaker,2,14,22,48804856
47,7539390890,Dire,No,36 мин,OUHETTUR,Necrophos,15,8,12,53849319
47,7539390890,Dire,No,36 мин,teo,Phantom Assassin,10,7,13,110621494
47,7539390890,Dire,No,36 мин,StrongLeg,Grimstroke,0,10,21,34226035
48,7538065174,Radiant,Yes,44 мин,Хоссср,Sniper,25,6,9,35394283
48,7538065174,Radiant,Yes,44 мин,Булка с маком,Kunkka,7,7,27,48804856
48,7538065174,Radiant,Yes,44 мин,teo,Lone Druid,11,2,9,110621494
48,7538065174,Radiant,Yes,44 мин,Rome,Spirit Breaker,3,6,26,94035796
48,7538065174,Radiant,Yes,44 мин,StrongLeg,Vengeful Spirit,1,8,30,34226035
48,7538065174,Dire,No,44 мин,Atzik,Grimstroke,2,9,14,44019880
48,7538065174,Dire,No,44 мин,KeS.Jr,Techies,6,10,16,62575637
48,7538065174,Dire,No,44 мин,86-й,Venomancer,9,11,12,59850816
48,7538065174,Dire,No,44 мин,Y O S E N,Dark Willow,9,7,10,104608913
48,7538065174,Dire,No,44 мин,ластхит по перхоти,Primal Beast,3,10,13,207865369
49,7538005803,Radiant,No,43 мин,Хоссср,Rubick,3,13,14,35394283
49,7538005803,Radiant,No,43 мин,Rome,Treant Protector,1,5,23,94035796
49,7538005803,Radiant,No,43 мин,Булка с маком,Pugna,5,13,12,48804856
49,7538005803,Radiant,No,43 мин,teo,Night Stalker,4,8,14,110621494
49,7538005803,Radiant,No,43 мин,StrongLeg,Drow Ranger,16,4,10,34226035
49,7538005803,Dire,Yes,43 мин,Atzik,Witch Doctor,8,8,20,44019880
49,7538005803,Dire,Yes,43 мин,ластхит по перхоти,Wraith King,5,6,27,207865369
49,7538005803,Dire,Yes,43 мин,Y O S E N,Pudge,15,4,14,104608913
49,7538005803,Dire,Yes,43 мин,KeS.Jr,Muerta,6,10,23,62575637
49,7538005803,Dire,Yes,43 мин,86-й,Luna,9,2,24,59850816
50,7537937432,Radiant,Yes,43 мин,Atzik,Jakiro,16,12,23,44019880
50,7537937432,Radiant,Yes,43 мин,KeS.Jr,Rubick,2,8,32,62575637
50,7537937432,Radiant,Yes,43 мин,86-й,Clinkz,15,7,22,59850816
50,7537937432,Radiant,Yes,43 мин,ластхит по перхоти,Centaur Warrunner,8,10,31,207865369
50,7537937432,Radiant,Yes,43 мин,Y O S E N,Lycan,14,5,23,104608913
50,7537937432,Dire,No,43 мин,Хоссср,Pudge,9,16,14,35394283
50,7537937432,Dire,No,43 мин,StrongLeg,Lich,7,8,21,34226035
50,7537937432,Dire,No,43 мин,Rome,Viper,6,9,24,94035796
50,7537937432,Dire,No,43 мин,Булка с маком,Dawnbreaker,9,14,19,48804856
50,7537937432,Dire,No,43 мин,teo,Spectre,11,9,17,110621494
51,7536315346,Radiant,Yes,34 мин,Atzik,Grimstroke,1,3,16,44019880
51,7536315346,Radiant,Yes,34 мин,86-й,Clinkz,10,4,19,59850816
51,7536315346,Radiant,Yes,34 мин,Булка с маком,Dawnbreaker,6,6,17,48804856
51,7536315346,Radiant,Yes,34 мин,KeS.Jr,Nature's Prophet,9,7,17,62575637
51,7536315346,Radiant,Yes,34 мин,teo,Anti-Mage,11,1,10,110621494
51,7536315346,Dire,No,34 мин,Хоссср,Wraith King,7,7,11,35394283
51,7536315346,Dire,No,34 мин,ластхит по перхоти,Mars,1,5,8,207865369
51,7536315346,Dire,No,34 мин,Snake-Jazzman,Shadow Shaman,3,11,8,37615683
51,7536315346,Dire,No,34 мин,StrongLeg,Ancient Apparition,2,8,13,34226035
51,7536315346,Dire,No,34 мин,Y O S E N,Zeus,8,6,9,104608913
52,7536243938,Radiant,No,41 мин,Snake-Jazzman,Lich,1,14,13,37615683
52,7536243938,Radiant,No,41 мин,Булка с маком,Pudge,8,14,8,48804856
52,7536243938,Radiant,No,41 мин,Atzik,Jakiro,3,12,14,44019880
52,7536243938,Radiant,No,41 мин,86-й,Viper,14,9,10,59850816
52,7536243938,Radiant,No,41 мин,KeS.Jr,Abaddon,3,12,8,62575637
52,7536243938,Dire,Yes,41 мин,Хоссср,Wraith King,7,4,24,35394283
52,7536243938,Dire,Yes,41 мин,teo,Spirit Breaker,9,8,28,110621494
52,7536243938,Dire,Yes,41 мин,StrongLeg,Silencer,10,7,38,34226035
52,7536243938,Dire,Yes,41 мин,ластхит по перхоти,Centaur Warrunner,15,8,29,207865369
52,7536243938,Dire,Yes,41 мин,Y O S E N,Death Prophet,20,3,28,104608913
53,7502855926,Radiant,Yes,18 мин,StrongLeg,Gyrocopter,0,0,1,34226035
53,7502855926,Radiant,Yes,18 мин,ластхит по перхоти,Wraith King,0,1,1,207865369
53,7502855926,Radiant,Yes,18 мин,Snake-Jazzman,Lich,0,1,1,37615683
53,7502855926,Radiant,Yes,18 мин,Булка с маком,Pugna,1,1,0,48804856
53,7502855926,Radiant,Yes,18 мин,Y O S E N,Lycan,1,0,1,104608913
53,7502855926,Dire,No,18 мин,Хоссср,Pudge,0,1,2,35394283
53,7502855926,Dire,No,18 мин,Жора Пасатижи,Earthshaker,0,0,2,132943958
53,7502855926,Dire,No,18 мин,Atzik,Ancient Apparition,0,0,1,44019880
53,7502855926,Dire,No,18 мин,teo,Phantom Lancer,0,0,2,110621494
53,7502855926,Dire,No,18 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Grimstroke,3,1,0,94204864
54,7310055835,Radiant,No,50 мин,WTF,Weaver,9,8,21,230727902
54,7310055835,Radiant,No,50 мин,_TwoGirls_,Winter Wyvern,22,7,13,371248693
54,7310055835,Radiant,No,50 мин,Булка с маком,Jakiro,8,12,26,48804856
54,7310055835,Radiant,No,50 мин,Snake-Jazzman,Ogre Magi,1,13,21,37615683
54,7310055835,Radiant,No,50 мин,teo,Legion Commander,7,16,19,110621494
54,7310055835,Dire,Yes,50 мин,Atzik,Grimstroke,3,13,39,44019880
54,7310055835,Dire,Yes,50 мин,ластхит по перхоти,Necrophos,13,8,32,207865369
54,7310055835,Dire,Yes,50 мин,StrongLeg,Drow Ranger,17,5,27,34226035
54,7310055835,Dire,Yes,50 мин,Y O S E N,Death Prophet,12,5,35,104608913
54,7310055835,Dire,Yes,50 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Lion,9,16,22,94204864
55,7304937995,Radiant,Yes,41 мин,WTF,Ursa,18,11,19,230727902
55,7304937995,Radiant,Yes,41 мин,Y O S E N,Lycan,16,3,29,104608913
55,7304937995,Radiant,Yes,41 мин,teo,Night Stalker,6,8,26,110621494
55,7304937995,Radiant,Yes,41 мин,ластхит по перхоти,Disruptor,3,4,45,207865369
55,7304937995,Radiant,Yes,41 мин,GOD OF DOTA,Silencer,17,3,32,141842258
55,7304937995,Dire,No,41 мин,Atzik,Witch Doctor,3,14,11,44019880
55,7304937995,Dire,No,41 мин,Булка с маком,Dawnbreaker,3,14,13,48804856
55,7304937995,Dire,No,41 мин,Snake-Jazzman,Lich,4,15,9,37615683
55,7304937995,Dire,No,41 мин,StrongLeg,Bloodseeker,5,9,4,34226035
55,7304937995,Dire,No,41 мин,_TwoGirls_,Sniper,14,11,4,371248693
56,7304809657,Radiant,Yes,64 мин,Atzik,Jakiro,9,10,39,44019880
56,7304809657,Radiant,Yes,64 мин,StrongLeg,Faceless Void,14,6,30,34226035
56,7304809657,Radiant,Yes,64 мин,Булка с маком,Dawnbreaker,18,12,32,48804856
56,7304809657,Radiant,Yes,64 мин,_TwoGirls_,Ancient Apparition,18,9,30,371248693
56,7304809657,Radiant,Yes,64 мин,Snake-Jazzman,Lich,4,6,32,37615683
56,7304809657,Dire,No,64 мин,WTF,Pudge,5,20,19,230727902
56,7304809657,Dire,No,64 мин,Y O S E N,Outworld Destroyer,20,12,12,104608913
56,7304809657,Dire,No,64 мин,teo,Medusa,3,8,18,110621494
56,7304809657,Dire,No,64 мин,ластхит по перхоти,Warlock,6,10,26,207865369
56,7304809657,Dire,No,64 мин,GOD OF DOTA,Techies,9,14,12,141842258
57,7266615017,Radiant,Yes,71 мин,Y O S E N,Monkey King,22,6,20,104608913
57,7266615017,Radiant,Yes,71 мин,ластхит по перхоти,Undying,7,10,37,207865369
57,7266615017,Radiant,Yes,71 мин,teo,Wraith King,11,5,33,110621494
57,7266615017,Radiant,Yes,71 мин,StrongLeg,Underlord,8,11,37,34226035
57,7266615017,Radiant,Yes,71 мин,Жора Пасатижи,Enchantress,10,10,25,132943958
57,7266615017,Dire,No,71 мин,WTF,Slark,10,8,13,230727902
57,7266615017,Dire,No,71 мин,_TwoGirls_,Lina,12,11,15,371248693
57,7266615017,Dire,No,71 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,1,15,22,94204864
57,7266615017,Dire,No,71 мин,GOD OF DOTA,Techies,14,9,15,141842258
57,7266615017,Dire,No,71 мин,Булка с маком,Pudge,3,15,17,48804856
58,7263837302,Radiant,No,60 мин,WTF,Pudge,11,12,9,230727902
58,7263837302,Radiant,No,60 мин,_TwoGirls_,Phoenix,17,7,14,371248693
58,7263837302,Radiant,No,60 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,2,9,26,94204864
58,7263837302,Radiant,No,60 мин,StrongLeg,Phantom Lancer,9,9,8,34226035
58,7263837302,Radiant,No,60 мин,Snake-Jazzman,Lich,2,10,13,37615683
58,7263837302,Dire,Yes,60 мин,Жора Пасатижи,Silencer,8,15,27,132943958
58,7263837302,Dire,Yes,60 мин,ластхит по перхоти,Beastmaster,5,6,26,207865369
58,7263837302,Dire,Yes,60 мин,GOD OF DOTA,Undying,6,9,29,141842258
58,7263837302,Dire,Yes,60 мин,Y O S E N,Puck,10,7,24,104608913
58,7263837302,Dire,Yes,60 мин,teo,Sniper,15,5,23,110621494
59,7262398850,Radiant,No,39 мин,WTF,Lifestealer,9,7,10,230727902
59,7262398850,Radiant,No,39 мин,Булка с маком,Dawnbreaker,5,11,15,48804856
59,7262398850,Radiant,No,39 мин,Железный человек,Queen of Pain,12,9,8,253235627
59,7262398850,Radiant,No,39 мин,GOD OF DOTA,Ancient Apparition,5,11,22,141842258
59,7262398850,Radiant,No,39 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,2,13,18,94204864
59,7262398850,Dire,Yes,39 мин,ластхит по перхоти,Snapfire,5,6,27,207865369
59,7262398850,Dire,Yes,39 мин,teo,Anti-Mage,10,3,8,110621494
59,7262398850,Dire,Yes,39 мин,Y O S E N,Bloodseeker,14,5,19,104608913
59,7262398850,Dire,Yes,39 мин,StrongLeg,Legion Commander,12,10,29,34226035
59,7262398850,Dire,Yes,39 мин,_TwoGirls_,Disruptor,9,11,32,371248693
61,7262328315,Radiant,No,41 мин,_TwoGirls_,Juggernaut,5,6,8,371248693
61,7262328315,Radiant,No,41 мин,Булка с маком,Pudge,3,12,8,48804856
61,7262328315,Radiant,No,41 мин,teo,Night Stalker,3,7,10,110621494
61,7262328315,Radiant,No,41 мин,Железный человек,Puck,3,9,7,253235627
61,7262328315,Radiant,No,41 мин,StrongLeg,Undying,4,10,9,34226035
61,7262328315,Dire,Yes,41 мин,WTF,Wraith King,4,3,18,230727902
61,7262328315,Dire,Yes,41 мин,ластхит по перхоти,Necrophos,8,6,20,207865369
61,7262328315,Dire,Yes,41 мин,GOD OF DOTA,Mirana,4,4,21,141842258
61,7262328315,Dire,Yes,41 мин,Y O S E N,Outworld Destroyer,20,2,13,104608913
61,7262328315,Dire,Yes,41 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,6,4,21,94204864
62,7262214096,Radiant,Yes,65 мин,WTF,Pudge,6,15,26,230727902
62,7262214096,Radiant,Yes,65 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,7,15,23,94204864
62,7262214096,Radiant,Yes,65 мин,ластхит по перхоти,Windranger,11,8,21,207865369
62,7262214096,Radiant,Yes,65 мин,Y O S E N,Slark,18,7,15,104608913
62,7262214096,Radiant,Yes,65 мин,GOD OF DOTA,Spirit Breaker,9,10,27,141842258
62,7262214096,Dire,No,65 мин,teo,Anti-Mage,12,6,23,110621494
62,7262214096,Dire,No,65 мин,_TwoGirls_,Phoenix,14,14,27,371248693
62,7262214096,Dire,No,65 мин,Железный человек,Doom,12,13,24,253235627
62,7262214096,Dire,No,65 мин,StrongLeg,Lich,10,9,34,34226035
62,7262214096,Dire,No,65 мин,Булка с маком,Pugna,7,10,30,48804856
63,7262139561,Radiant,Yes,40 мин,WTF,Phantom Assassin,17,4,8,230727902
63,7262139561,Radiant,Yes,40 мин,Y O S E N,Death Prophet,9,3,18,104608913
63,7262139561,Radiant,Yes,40 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Lich,5,12,15,94204864
63,7262139561,Radiant,Yes,40 мин,ластхит по перхоти,Tidehunter,7,2,24,207865369
63,7262139561,Radiant,Yes,40 мин,GOD OF DOTA,Techies,6,6,17,141842258
63,7262139561,Dire,No,40 мин,teo,Medusa,5,4,10,110621494
63,7262139561,Dire,No,40 мин,StrongLeg,Disruptor,1,12,16,34226035
63,7262139561,Dire,No,40 мин,Булка с маком,Witch Doctor,7,12,13,48804856
63,7262139561,Dire,No,40 мин,Железный человек,Windranger,10,8,7,253235627
63,7262139561,Dire,No,40 мин,_TwoGirls_,Storm Spirit,4,9,7,371248693
64,7258109430,Radiant,No,48 мин,Atzik,Witch Doctor,14,8,8,44019880
64,7258109430,Radiant,No,48 мин,StrongLeg,Legion Commander,10,9,17,34226035
64,7258109430,Radiant,No,48 мин,teo,Leshrac,1,11,11,110621494
64,7258109430,Radiant,No,48 мин,Булка с маком,Pugna,7,12,20,48804856
64,7258109430,Radiant,No,48 мин,WTF,Pudge,7,9,17,230727902
64,7258109430,Dire,Yes,48 мин,_TwoGirls_,Phantom Lancer,20,6,17,371248693
64,7258109430,Dire,Yes,48 мин,Y O S E N,Queen of Pain,11,5,23,104608913
64,7258109430,Dire,Yes,48 мин,CAPITAH CBIH,Kunkka,1,9,24,60333333
64,7258109430,Dire,Yes,48 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Lich,7,18,32,94204864
64,7258109430,Dire,Yes,48 мин,ластхит по перхоти,Windranger,10,3,26,207865369
65,7256882581,Radiant,Yes,34 мин,WTF,Techies,10,5,19,230727902
65,7256882581,Radiant,Yes,34 мин,gin,Mars,12,4,17,1168515991
65,7256882581,Radiant,Yes,34 мин,teo,Ursa,5,2,10,110621494
65,7256882581,Radiant,Yes,34 мин,OUHETTUR,Arc Warden,15,2,21,53849319
65,7256882581,Radiant,Yes,34 мин,StrongLeg,Disruptor,6,6,26,34226035
65,7256882581,Dire,No,34 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Axe,3,10,9,94204864
65,7256882581,Dire,No,34 мин,_TwoGirls_,Outworld Destroyer,7,10,5,371248693
65,7256882581,Dire,No,34 мин,Y O S E N,Phantom Lancer,3,9,3,104608913
65,7256882581,Dire,No,34 мин,Atzik,Ancient Apparition,3,9,13,44019880
65,7256882581,Dire,No,34 мин,ластхит по перхоти,Snapfire,3,11,9,207865369
66,7256821119,Radiant,Yes,39 мин,WTF,Juggernaut,9,4,10,230727902
66,7256821119,Radiant,Yes,39 мин,StrongLeg,Undying,11,2,33,34226035
66,7256821119,Radiant,Yes,39 мин,teo,Night Stalker,11,4,15,110621494
66,7256821119,Radiant,Yes,39 мин,OUHETTUR,Earth Spirit,9,5,25,53849319
66,7256821119,Radiant,Yes,39 мин,gin,Void Spirit,11,3,15,1168515991
66,7256821119,Dire,No,39 мин,Atzik,Witch Doctor,0,15,11,44019880
66,7256821119,Dire,No,39 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Shadow Shaman,1,13,6,94204864
66,7256821119,Dire,No,39 мин,_TwoGirls_,Outworld Destroyer,8,11,4,371248693
66,7256821119,Dire,No,39 мин,ластхит по перхоти,Spirit Breaker,2,6,6,207865369
66,7256821119,Dire,No,39 мин,Y O S E N,Ursa,7,7,7,104608913
67,7255590108,Radiant,No,39 мин,ластхит по перхоти,Primal Beast,9,9,15,207865369
67,7255590108,Radiant,No,39 мин,Atzik,Grimstroke,2,8,14,44019880
67,7255590108,Radiant,No,39 мин,_TwoGirls_,Zeus,10,9,11,371248693
67,7255590108,Radiant,No,39 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Shadow Shaman,0,13,15,94204864
67,7255590108,Radiant,No,39 мин,Y O S E N,Bloodseeker,11,8,8,104608913
67,7255590108,Dire,Yes,39 мин,OUHETTUR,Earth Spirit,4,5,33,53849319
67,7255590108,Dire,Yes,39 мин,StrongLeg,Windranger,9,7,20,34226035
67,7255590108,Dire,Yes,39 мин,Булка с маком,Dawnbreaker,12,10,20,48804856
67,7255590108,Dire,Yes,39 мин,teo,Phantom Lancer,13,4,14,110621494
67,7255590108,Dire,Yes,39 мин,CAPITAH CBIH,Disruptor,7,7,30,60333333
68,7233855652,Radiant,No,45 мин,teo,Templar Assassin,8,9,6,110621494
68,7233855652,Radiant,No,45 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,5,12,10,94204864
68,7233855652,Radiant,No,45 мин,Atzik,Ancient Apparition,3,12,13,44019880
68,7233855652,Radiant,No,45 мин,StrongLeg,Bloodseeker,7,9,12,34226035
68,7233855652,Radiant,No,45 мин,_TwoGirls_,Legion Commander,6,13,21,371248693
68,7233855652,Dire,Yes,45 мин,WTF,Pudge,10,7,26,230727902
68,7233855652,Dire,Yes,45 мин,Snake-Jazzman,Lich,3,11,22,37615683
68,7233855652,Dire,Yes,45 мин,Булка с маком,Pugna,14,4,31,48804856
68,7233855652,Dire,Yes,45 мин,ластхит по перхоти,Centaur Warrunner,9,7,30,207865369
68,7233855652,Dire,Yes,45 мин,Y O S E N,Spectre,19,1,24,104608913
69,7233807038,Radiant,No,41 мин,WTF,Pudge,4,9,14,230727902
69,7233807038,Radiant,No,41 мин,Булка с маком,Kunkka,4,9,9,48804856
69,7233807038,Radiant,No,41 мин,Y O S E N,Drow Ranger,13,3,6,104608913
69,7233807038,Radiant,No,41 мин,ластхит по перхоти,Spirit Breaker,4,5,13,207865369
69,7233807038,Radiant,No,41 мин,Snake-Jazzman,Lich,2,7,15,37615683
69,7233807038,Dire,Yes,41 мин,Atzik,Ancient Apparition,1,6,25,44019880
69,7233807038,Dire,Yes,41 мин,teo,Razor,8,7,12,110621494
69,7233807038,Dire,Yes,41 мин,StrongLeg,Juggernaut,17,1,11,34226035
